datetime,demand,gen_cost_marg,gen_cost_tot,co2_marg,co2_tot,so2_marg,so2_tot,nox_marg,nox_tot,dmg_easiur,biomass_mix,coal_mix,gas_mix,geothermal_mix,hydro_mix,nuclear_mix,oil_mix,marg_gen,coal_mix_marg,marg_gen_fuel_type,mmbtu_coal,mmbtu_gas,mmbtu_oil
2017-06-11 22:00:00,21033.0,33.511483998653944,639320.1962337975,705.982216177119,9774769.192490453,0.8336297483470283,2792.1429053406423,1.0797838212654856,3274.0888164180396,58515.52450304708,0.0,3688.2689655172408,17344.731034482757,0.0,0.0,0.0,0.0,0,0.5,gas,37865.69335776517,116051.71983297988,0.0
2017-06-11 23:00:00,18419.0,32.77495820158103,552768.1720887037,665.534182628167,8536698.256860098,0.6057893570035606,2475.1411027757595,0.6962679438998143,2858.0396706841207,51895.271049942305,0.0,3258.5407407407406,15160.459259259256,0.0,0.0,0.0,0.0,0,0.5,gas,33778.100792256104,100136.91824718757,0.0
2017-06-12 00:00:00,17022.0,32.63952478041283,507034.76907834597,670.6041079275973,8008820.95560864,0.6058149974433725,2489.987920572167,0.6806240930828589,2753.0515834719345,52084.32856031217,0.0,3273.0773195876286,13748.922680412368,0.0,0.0,0.0,0.0,0,0.5,gas,33926.948984690884,90089.6879698847,0.0
2017-06-12 01:00:00,16128.0,32.54818118934152,477887.54338781664,664.1282894122237,7664837.523962348,0.6057823764633529,2481.6388430800657,0.7100982261933405,2669.1005462942403,51845.21636076595,0.0,3267.590347490347,12860.409652509652,0.0,0.0,0.0,0.0,0,0.5,gas,33870.76479670395,83805.43292844108,0.0
2017-06-12 02:00:00,15634.0,32.42572604669888,461853.18905881536,663.4074905195811,7426335.108797017,0.6057778534591883,2374.2297156933146,0.7125991130426733,2509.8853110989244,49582.058253672614,0.0,3179.443076923076,12454.556923076923,0.0,0.0,0.0,0.0,0,0.5,gas,32968.17540272102,80933.0226258567,0.0
2017-06-12 03:00:00,15599.0,32.42572604669888,460718.2886471809,663.4074905195811,7403972.384352979,0.6057778534591883,2355.3025165921904,0.7125991130426733,2486.791584353714,49187.26315021874,0.0,3163.8276923076914,12435.172307692306,0.0,0.0,0.0,0.0,0,0.5,gas,32808.2807123227,80792.98211659744,0.0
2017-06-12 04:00:00,16612.0,32.62329089388872,493656.5704415709,664.5350103379571,7847908.22546691,0.6057844528833388,2480.9559266690153,0.7007367321042569,2713.786254796243,51872.75565393454,0.0,3266.2558232931733,13345.744176706825,0.0,0.0,0.0,0.0,0,0.5,gas,33857.09985417504,87224.48622542708,0.0
2017-06-12 05:00:00,17824.0,32.762898136645966,533270.7153153708,665.3574582775176,8313644.69627102,0.6057889332210932,2483.6275039836883,0.7151821133511521,2810.8569408136805,52016.303853391815,0.0,3266.519923371647,14557.48007662835,0.0,0.0,0.0,0.0,0,0.5,gas,33859.80412315859,95859.08412607387,0.0
2017-06-12 06:00:00,19075.0,32.941149097381135,574308.1341973615,672.6141803953121,8807995.126299713,0.60582481325451,2507.4648410970763,0.6810243370826119,2948.6517795215505,52605.66228893545,0.0,3284.2328903654484,15790.76710963455,0.0,0.0,0.0,0.0,0,0.5,gas,34041.1771372257,104716.73941436339,0.0
2017-06-12 07:00:00,20702.0,33.48955418060201,628229.8467840496,700.2743194300058,9636005.779954635,0.8335827587272749,2770.016898990984,1.076118771340678,3217.983872023613,58021.86282188772,0.0,3675.3657587548632,17026.634241245134,0.0,0.0,0.0,0.0,0,0.5,gas,37724.69898575442,113719.48313678856,0.0
2017-06-12 08:00:00,22564.0,35.402654451345754,692094.4899423687,713.7471538955552,10717234.44869383,0.21550703711843677,3620.6013289416333,0.9248626076923063,4268.459115850387,75953.19903207407,0.0,3989.1042474658625,18574.895752534132,0.0,0.0,0.0,0.0,0,0.5,gas,41130.26576939551,126021.0888922923,0.0
2017-06-12 09:00:00,24536.0,37.30678365815189,763086.8052625029,506.17803978212896,12037585.103693996,0.002557787920573635,4182.376845121382,0.11985454630541872,5071.206272526156,87663.26327227466,0.0,4839.0,19697.0,0.0,0.0,0.0,0.0,0,0.0,gas,49976.34342779485,135441.99488322093,0.0
2017-06-12 10:00:00,25617.0,39.527277246222866,804828.1716162028,537.4182713968958,12743769.227337033,0.002715720288248337,4415.275479400812,0.12691164822616408,5270.515191128243,93191.38472593906,0.0,5150.0,20467.0,0.0,0.0,0.0,0.0,0,0.0,gas,53440.95017450118,142715.84150242453,0.0
2017-06-12 11:00:00,27572.0,41.36166374393276,883421.0679746679,978.6266925608312,14349930.196607795,0.6113673342490843,5191.374387232985,1.9110093207872596,7257.9834588468175,110466.03105853124,0.0,6428.377934638836,21143.622065361164,0.0,0.0,0.0,0.0,0,1.0,coal,66807.92437940558,149477.02792759307,0.0
2017-06-12 12:00:00,28748.0,43.60497451140341,933770.0685678202,556.1607398286937,15131232.186325783,0.02805313432835821,5384.567968123351,0.8374786666666667,8253.670991735857,115889.4476748221,0.0,6720.0,22028.0,0.0,0.0,0.0,0.0,0,0.0,gas,69873.91116433134,158687.29170009936,0.0
2017-06-12 13:00:00,30013.0,43.81097226883451,989074.9473267383,577.976068359375,16054394.632442897,0.0029190781250000002,5703.111482045117,0.05380690746456693,8560.689485936678,123528.886292549,0.0,7120.0,22893.0,0.0,0.0,0.0,0.0,0,0.0,gas,74723.42351617079,167460.26136610447,0.0
2017-06-12 14:00:00,29240.0,43.675599999999996,955245.8434378994,532.680423076923,15403611.01429237,0.002691405128205128,5386.364127434461,0.21739695852534563,8323.75780108581,115989.88601056123,0.0,6720.0,22520.0,0.0,0.0,0.0,0.0,0,0.0,gas,69873.91116433134,163741.14409727097,0.0
