,year,region,dec,pollutant,int,factor,se,r2,warn
67,2012,NPCC,11666,so2,-3.723404752,0.092006746,0.008321406,0.12234102,0
68,2012,NPCC,11666,nox,7.865679761,0.107271193,0.005908675,0.27316372,0
69,2012,NPCC,11666,co2,6777.802847,448.6673336,1.870338789,0.984988557,0
70,2012,NPCC,12906,so2,-15.59102648,0.125139726,0.008624857,0.193753782,0
71,2012,NPCC,12906,nox,-19.55935459,0.102348297,0.005973706,0.250990286,0
72,2012,NPCC,12906,co2,-4262.31767,442.8413412,1.747325025,0.986545355,0
73,2012,NPCC,13948,so2,-8.140740541,0.128946677,0.009030762,0.188797675,0
74,2012,NPCC,13948,nox,-36.65301124,0.089630792,0.007106539,0.153683375,0
75,2012,NPCC,13948,co2,-7200.172208,436.8944882,2.051042064,0.981059328,0
76,2012,NPCC,15117,so2,-0.63063695,0.194543354,0.010833684,0.268839745,0
77,2012,NPCC,15117,nox,-22.18493784,0.117498363,0.007483667,0.219410688,0
78,2012,NPCC,15117,co2,-5605.828431,446.1316158,2.038725482,0.98201505,0
79,2012,NPCC,16220,so2,-33.75332964,0.274612196,0.014613635,0.287295365,0
80,2012,NPCC,16220,nox,-22.552679,0.196961311,0.008586077,0.375278993,0
81,2012,NPCC,16220,co2,-11032.44065,466.8372157,2.413294293,0.977125887,0
82,2012,NPCC,17635,so2,-38.36268037,0.341177003,0.015166862,0.365880638,0
83,2012,NPCC,17635,nox,-26.86552987,0.242693917,0.010924029,0.360122,0
84,2012,NPCC,17635,co2,-12602.12349,491.4665195,2.241827686,0.982078985,0
85,2012,NPCC,21173,so2,-34.15541688,0.44420904,0.013077457,0.568429062,0
86,2012,NPCC,21173,nox,-17.73301799,0.299577853,0.008557394,0.583167806,0
87,2012,NPCC,21173,co2,-12682.6981,518.956825,2.214782963,0.984295308,0
88,2012,NPCC,36538,so2,-18.36446329,0.582948539,0.016485823,0.588030661,0
89,2012,NPCC,36538,nox,-24.69089937,0.519508109,0.015533825,0.560787551,0
90,2012,NPCC,36538,co2,-16517.3465,556.9877119,2.429735176,0.983603512,0
91,2012,RFC,51386,so2,-157.8468573,1.580819216,0.047420975,0.55891522,0
92,2012,RFC,51386,nox,-17.39867549,0.610654139,0.010979144,0.779122421,0
93,2012,RFC,51386,co2,-30010.66055,685.1660072,3.067008319,0.982730791,0
94,2012,RFC,56290,so2,-75.43119391,1.729443017,0.044713078,0.630697719,0
95,2012,RFC,56290,nox,-35.23798561,0.660468672,0.008721429,0.867492432,0
96,2012,RFC,56290,co2,-41575.8907,687.0289225,2.763727448,0.986022442,0
97,2012,RFC,60619,so2,-102.8907755,1.671524279,0.038641038,0.680885835,0
98,2012,RFC,60619,nox,-13.23466371,0.668065801,0.007875169,0.891372426,0
99,2012,RFC,60619,co2,-26773.9602,691.4992069,2.316931437,0.990250382,0
100,2012,RFC,64577,so2,56.83783701,1.803120817,0.036046619,0.740689675,0
101,2012,RFC,64577,nox,-1.936526145,0.688494687,0.008001648,0.894197647,0
102,2012,RFC,64577,co2,-22232.77356,699.3438006,2.214785174,0.991290628,0
103,2012,RFC,67852,so2,70.1580746,1.862268751,0.033393321,0.780232819,0
104,2012,RFC,67852,nox,5.012612763,0.688695932,0.008354736,0.885803705,0
105,2012,RFC,67852,co2,12664.43679,705.724192,2.296951484,0.990805541,0
106,2012,RFC,71095,so2,-88.13345119,1.80179782,0.042593841,0.671097737,0
107,2012,RFC,71095,nox,34.99363949,0.680877349,0.009681404,0.849392412,0
108,2012,RFC,71095,co2,8988.94858,709.7989871,2.452608558,0.989637573,0
109,2012,RFC,74617,so2,-111.1972561,1.769634478,0.069228486,0.427236697,0
110,2012,RFC,74617,nox,11.63458526,0.67929019,0.009220381,0.861033201,0
111,2012,RFC,74617,co2,4747.46626,706.9641984,2.261869161,0.991112752,0
112,2012,RFC,79588,so2,79.55018065,1.747169515,0.039723802,0.688066738,0
113,2012,RFC,79588,nox,49.38733826,0.658857443,0.009269292,0.852090663,0
114,2012,RFC,79588,co2,26991.62354,715.4245663,2.237031512,0.991498255,0
115,2012,RFC,92388,so2,140.8396089,1.718149155,0.032601894,0.760222364,0
116,2012,RFC,92388,nox,-80.61694163,0.691688385,0.007492231,0.906799783,0
117,2012,RFC,92388,co2,30790.77436,710.7772381,1.952418165,0.993433686,0
118,2012,RFC,135016,so2,244.8623,1.439254633,0.035504467,0.652280408,0
119,2012,RFC,135016,nox,-6.472925299,0.699049094,0.009416676,0.862843606,0
120,2012,RFC,135016,co2,17328.05654,686.6772684,1.910993834,0.993261227,0
121,2012,SERC,63087,so2,-85.59167513,1.108210322,0.01853908,0.802934111,0
122,2012,SERC,63087,nox,-11.90119297,0.466216376,0.00872444,0.765044205,0
123,2012,SERC,63087,co2,-19125.87836,683.5688302,2.915201243,0.9843,0
124,2012,SERC,69310,so2,127.6962795,1.166340201,0.014900669,0.874908506,0
125,2012,SERC,69310,nox,13.49577235,0.489099519,0.006793587,0.855425944,0
126,2012,SERC,69310,co2,31379.64961,687.3381779,2.576586367,0.987839845,0
127,2012,SERC,73856,so2,168.7682149,1.191053449,0.017912663,0.834472735,0
128,2012,SERC,73856,nox,48.91395,0.489966841,0.007082081,0.845146828,0
129,2012,SERC,73856,co2,21020.51284,679.929947,2.485688881,0.988414787,0
130,2012,SERC,77168,so2,160.6892873,1.15127166,0.021537831,0.765353339,0
131,2012,SERC,77168,nox,17.84501962,0.496750675,0.01208855,0.658427173,0
132,2012,SERC,77168,co2,10879.7396,679.7062595,2.924483037,0.984042182,0
133,2012,SERC,80465,so2,-20.12058572,1.16020734,0.022103803,0.75875072,0
134,2012,SERC,80465,nox,-18.06709087,0.493609782,0.010227832,0.726691178,0
135,2012,SERC,80465,co2,5528.227204,675.0685828,2.962773515,0.983406489,0
136,2012,SERC,84346,so2,-47.02906571,1.13224461,0.024421234,0.710230057,0
137,2012,SERC,84346,nox,-37.68142744,0.502522692,0.008795278,0.78823927,0
138,2012,SERC,84346,co2,-3559.958536,676.9790069,3.003881014,0.983026175,0
139,2012,SERC,89500,so2,-37.57060766,1.163839784,0.021866348,0.763812471,0
140,2012,SERC,89500,nox,-14.25064022,0.510163559,0.008161488,0.816864018,0
141,2012,SERC,89500,co2,20011.26894,676.3712203,2.699845922,0.986234499,0
142,2012,SERC,98177,so2,-87.63606691,1.192148603,0.017900196,0.834918478,0
143,2012,SERC,98177,nox,11.97163206,0.512737609,0.00800209,0.82398975,0
144,2012,SERC,98177,co2,29160.48741,671.6807458,2.387746402,0.989038665,0
145,2012,SERC,114102,so2,169.2441772,1.127561075,0.019785688,0.787570163,0
146,2012,SERC,114102,nox,47.89073068,0.516544063,0.007261214,0.852439141,0
147,2012,SERC,114102,co2,21142.24725,650.1216746,2.235091879,0.989752167,0
148,2012,SERC,155876,so2,-163.6201632,0.849392605,0.021873294,0.63254351,0
149,2012,SERC,155876,nox,-101.1380206,0.497514098,0.007633203,0.829043958,0
150,2012,SERC,155876,co2,-59523.16004,624.5152439,2.037706906,0.990760043,0
151,2012,SPP,16153,so2,-67.63333839,0.956247644,0.01891755,0.744472664,0
152,2012,SPP,16153,nox,-28.13493216,0.691152817,0.012004253,0.79078984,0
153,2012,SPP,16153,co2,-11666.87702,702.0141952,4.229301085,0.969151319,0
154,2012,SPP,17719,so2,-43.81882512,0.871446106,0.025095615,0.579215959,0
155,2012,SPP,17719,nox,-43.50162849,0.761627514,0.010347704,0.860808307,0
156,2012,SPP,17719,co2,-4541.696816,698.0232672,3.396488681,0.979680679,0
157,2012,SPP,18920,so2,11.02133074,0.827658355,0.015153879,0.77279847,0
158,2012,SPP,18920,nox,-3.381751881,0.787801919,0.011540899,0.84160143,0
159,2012,SPP,18920,co2,3930.999513,696.5567324,3.747157052,0.975248269,0
160,2012,SPP,19905,so2,52.76586196,0.771538507,0.02809135,0.462690399,0
161,2012,SPP,19905,nox,-18.01826089,0.816740391,0.011560716,0.850693534,0
162,2012,SPP,19905,co2,5438.633155,696.9817513,4.006233176,0.971871751,0
163,2012,SPP,20844,so2,25.92305093,0.760227591,0.017472553,0.683652206,0
164,2012,SPP,20844,nox,0.264121241,0.838812989,0.012306164,0.841363579,0
165,2012,SPP,20844,co2,5043.048752,688.1642413,3.946683469,0.971994188,0
166,2012,SPP,21887,so2,-7.085049397,0.726134053,0.028071531,0.432772188,0
167,2012,SPP,21887,nox,-4.88652461,0.833822613,0.014303144,0.794876679,0
168,2012,SPP,21887,co2,683.3975314,680.1137639,4.010920728,0.970401078,0
169,2012,SPP,23270,so2,4.530701633,0.721293705,0.015828796,0.703300633,0
170,2012,SPP,23270,nox,-4.485341101,0.824270008,0.012623932,0.829550006,0
171,2012,SPP,23270,co2,2750.441652,676.2988247,3.734593459,0.973982553,0
172,2012,SPP,25703,so2,19.03470468,0.627235825,0.012169229,0.751815217,0
173,2012,SPP,25703,nox,-19.89872038,0.794931599,0.011467737,0.845656155,0
174,2012,SPP,25703,co2,4635.047959,656.721866,3.116858812,0.980627968,0
175,2012,SPP,30760,so2,159.6880269,0.452528003,0.010017766,0.699646062,0
176,2012,SPP,30760,nox,45.45812558,0.834534803,0.010478961,0.878643172,0
177,2012,SPP,30760,co2,24193.21501,604.1667216,2.518743218,0.985003291,0
178,2012,SPP,41733,so2,25.52067843,0.240071583,0.011333125,0.338731663,0
179,2012,SPP,41733,nox,-16.55194529,1.125506308,0.013569894,0.887044695,0
180,2012,SPP,41733,co2,3883.142428,569.1472462,2.154853953,0.987598593,0
181,2012,TRE,20595,so2,-56.40000837,0.885725141,0.026431155,0.561492004,0
182,2012,TRE,20595,nox,-0.915325303,0.23485796,0.006185809,0.621739781,0
183,2012,TRE,20595,co2,-6285.067396,614.0705881,3.942836575,0.965105627,0
184,2012,TRE,23219,so2,-10.14809153,0.813318681,0.020295644,0.647043204,0
185,2012,TRE,23219,nox,-10.26270326,0.215684032,0.00463853,0.71166162,0
186,2012,TRE,23219,co2,1431.114587,600.3671631,3.209010686,0.975583851,0
187,2012,TRE,25291,so2,-50.36146194,0.762686605,0.021100956,0.598339414,0
188,2012,TRE,25291,nox,-44.6604304,0.225759758,0.009486272,0.392395113,0
189,2012,TRE,25291,co2,5103.714423,590.2167247,3.346015976,0.972586725,0
190,2012,TRE,27025,so2,50.66514514,0.719999372,0.021906014,0.552212002,0
191,2012,TRE,27025,nox,19.99636115,0.251357292,0.012016845,0.333091848,0
192,2012,TRE,27025,co2,4865.735838,589.8207311,3.515689011,0.969816169,0
193,2012,TRE,28650,so2,48.17242455,0.697614569,0.020211175,0.576273957,0
194,2012,TRE,28650,nox,1.002789306,0.255450912,0.005599199,0.70379749,0
195,2012,TRE,28650,co2,9283.529529,582.9661194,3.347706619,0.971923414,0
196,2012,TRE,30529,so2,7.848853864,0.686086738,0.019933516,0.574612669,0
197,2012,TRE,30529,nox,-11.0578668,0.259978468,0.007934303,0.550403139,0
198,2012,TRE,30529,co2,4628.953658,581.2466067,3.075250772,0.97603889,0
199,2012,TRE,33205,so2,-82.02686433,0.692517261,0.017036876,0.653518157,0
200,2012,TRE,33205,nox,-9.278821679,0.287210969,0.005668834,0.745565771,0
201,2012,TRE,33205,co2,-6887.486135,581.5775615,2.832310491,0.979646462,0
202,2012,TRE,37275,so2,17.11766364,0.654109223,0.015392428,0.673111144,0
203,2012,TRE,37275,nox,-0.061627469,0.292485828,0.00559458,0.757078561,0
