respondent_id,respondent_name,eia_code,nerc
241,Rochester Gas and Electric Corporation                                          ,16183,NPCC
268,United Illuminating Company                                                     ,19497,NPCC
301,PJM Interconnection Eastern Hub                                                 ,0,RFC
302,PJM Interconnection Western Hub                                                 ,0,RFC
303,PJM Interconnection Illinois Hub                                                ,0,RFC
304,PJM Interconnection North Illinois Hub                                          ,0,RFC
305,PJM Interconnection Dominion Hub                                                ,0,RFC
306,PJM Interconnection AEP-Dayton Hub                                              ,0,RFC
309,Michigan Electric Powr Coor. Center - Detroit                                   ,0,RFC
110,"American Electric Power Company, Inc.                                           ",829,RFC
150,"Dayton Power & Light Company, The                                               ",4922,RFC
152,Detroit Edison Company                                                          ,5109,RFC
159,East Kentucky Power Cooperative                                                 ,5580,RFC
124,"Buckeye Power, Inc.                                                             ",7004,RFC
183,Indiana Municipal Power Agency                                                  ,9234,RFC
179,"Hoosier Energy REC, Inc.                                                        ",9267,RFC
184,Indianapolis Power & Light Company                                              ,9273,RFC
198,Madison Gas & Electric Company                                                  ,11479,RFC
202,Michigan Electric Power Coordinated Center                                      ,12427,RFC
215,Northern Indiana Public Service Company                                         ,13756,RFC
219,Ohio Valley Electric Corporation & Indiana-Kentucky Electric Corp.              ,14015,RFC
230,PJM Interconnection LLC                                                         ,14725,RFC
255,Southern Indiana Gas & Electric Company                                         ,17633,RFC
280,"Wolverine Power Supply Coop., Inc.                                              ",20910,RFC
103,Alcoa Power Generating Inc. - Yadkin                                            ,27721,RFC
167,FirstEnergy Corporation                                                         ,32208,RFC
271,"Wabash Valley Power Association, Inc.                                           ",40211,RFC
111,"American Municipal Power-Ohio, Inc.                                             ",40577,RFC
155,"Duke Energy Control Area Services, LLC (Vermillion)                             ",55111,RFC
315,Griffith Energy (GRIF)                                                          ,55124,RFC
295,"Old Dominion Elec. Coop., Inc.-Delmarva P&L Planning                            ",0,SERC
101,"PowerSouth Energy Cooperative (Alabama Electric Cooperative, Inc.)              ",189,SERC
102,Alabama Power Company                                                           ,195,SERC
311,Arkansas Electric Cooperative Corporation                                       ,807,SERC
118,"Associated Electric Cooperative, Inc.                                           ",924,SERC
120,Big Rivers Electric Corporation                                                 ,1692,SERC
322,Constellation Energy Control and Dispatch - for Brazos                          ,2172,SERC
233,Progress Energy (Carolina Power & Light Company)                                ,3046,SERC
109,Ameren CILCO                                                                    ,3252,SERC
134,Duke Energy Corp.                                                               ,3260,SERC
162,Electric Power Board of Chattanooga                                             ,3408,SERC
144,Columbia (MO) Water & Light                                                     ,4045,SERC
147,Consumers Energy Company                                                        ,4254,SERC
289,City of Conway                                                                  ,4280,SERC
151,Decatur Utilities                                                               ,4958,SERC
157,"Duke Energy Carolinas, LLC                                                      ",5416,SERC
161,"Electric Energy, Inc.                                                           ",5748,SERC
296,Georgia Power Company                                                           ,7140,SERC
177,Greenville Utilities Commission                                                 ,7639,SERC
298,Gulf Power Company                                                              ,7801,SERC
138,City of Lafayette Utilities System                                              ,9096,SERC
107,Ameren (Illinois Power Co. Control Area)                                        ,9208,SERC
137,"City of Independence, MO                                                        ",9231,SERC
288,Batesville Balancing Authority                                                  ,9543,SERC
197,Louisville Gas & Electric and Kentucky Utilities                                ,11249,SERC
196,Louisiana Generating                                                            ,11252,SERC
200,"Memphis Light, Gas and Water                                                    ",12293,SERC
164,Entergy Corporation/Services  (Entergy System)                                  ,12506,SERC
297,Mississippi Power Company                                                       ,12686,SERC
113,KCP&L Greater Missouri Operations Company (Former Aquila Networks MPS)          ,12698,SERC
328,Municipal Electric Authority of Georgia                                         ,13100,SERC
156,City of North Little Rock                                                       ,13718,SERC
218,Oglethorpe Power Company                                                        ,13994,SERC
320,City of Osceola (OMLP) - SERC                                                   ,14216,SERC
290,City of Ruston                                                                  ,16463,SERC
299,Southern Power Company                                                          ,16687,SERC
250,South Carolina Electric & Gas                                                   ,17539,SERC
251,South Carolina Public Service Authority                                         ,17543,SERC
252,South Mississippi Electric Power Association                                    ,17568,SERC
254,Southern Illinois Power Coop                                                    ,17632,SERC
253,Southern Company                                                                ,18195,SERC
263,Tennessee Valley Authority                                                      ,18642,SERC
264,"Tex-La Electric Cooperative of Texas, Inc.                                      ",18679,SERC
108,Ameren Corporation Control Area                                                 ,19436,SERC
292,City of West Memphis                                                            ,20383,SERC
195,Louisiana Energy & Power Authority                                              ,26253,SERC
128,"Central Electric Power Cooperative, Inc.                                        ",40218,SERC
222,"Old Dominion Elec. Coop., Inc.-Dom VA Pwr Planning                              ",40229,SERC
313,Plum Point Energy Associates (PLUM) -SERC REGION                                ,56456,SERC
294,City of Benton                                                                  ,1581,SPP
142,Cleco Corporation                                                               ,3265,SPP
114,Aquila Networks (West Plains Energy - Kansas)                                   ,3285,SPP
163,Empire District Electric Company (the)                                          ,5860,SPP
173,"Golden Spread Electric Cooperative, Inc.                                        ",7349,SPP
174,Grand River Dam Authority                                                       ,7490,SPP
187,Kansas City Board of Public Utilities & Wyandotte County                        ,9996,SPP
