SEQPLT16,PSTATABB,PNAME,ORISPL,OPRNAME,OPRCODE,UTLSRVNM,UTLSRVID,BANAME,BACODE,NERC,SUBRGN,SRNAME,ISORTO,FIPSST,FIPSCNTY,CNTYNAME,LAT,LON,PM25 Annual 150m,PM25 Winter 150m,PM25 Spring 150m,PM25 Summer 150m,PM25 Fall 150m,SO2 Annual 150m,SO2 Winter 150m,SO2 Spring 150m,SO2 Summer 150m,SO2 Fall 150m,NOX Annual 150m,NOX Winter 150m,NOX Spring 150m,NOX Summer 150m,NOX Fall 150m,NH3 Annual 150m,NH3 Winter 150m,NH3 Spring 150m,NH3 Summer 150m,NH3 Fall 150m
5839,NC,NC Renewable Power - Lumberton LLC,10382,Duke Energy Progress - (NC),3046,NC Renewable Power - Lumberton LLC,59593,Progress Energy Carolinas - EAST,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,155,Robeson,34.59,-78.9968,80743.60427,96988.95468,68466.68819,68960.88605,88351.63476,23897.121,29430.80088,27734.13446,23404.7208,14845.71009,5712.504034,13813.51595,4856.350934,1581.71884,2354.041703,46466.40693,71983.22071,32464.41717,29555.08342,51490.30556
5840,NC,NCEMC Anson Plant,56249,Duke Energy Progress - (NC),3046,North Carolina El Member Corp,13683,Progress Energy Carolinas - EAST,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,007,Anson,34.968651,-79.921738,82587.4056,100307.9765,67980.86566,68699.63804,93192.53346,24118.64822,26647.74543,29782.73345,24846.90418,15006.18447,5912.804217,13717.37824,5027.932456,1609.710582,3066.756764,52937.18822,77543.74244,44684.71071,36959.91516,52202.81881
5841,NC,NCEMC Hamlet Plant,56292,Duke Energy Progress - (NC),3046,North Carolina El Member Corp,13683,Progress Energy Carolinas - EAST,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,153,Richmond,34.842311,-79.736087,82587.4056,100307.9765,67980.86566,68699.63804,93192.53346,24118.64822,26647.74543,29782.73345,24846.90418,15006.18447,5912.804217,13717.37824,5027.932456,1609.710582,3066.756764,52937.18822,77543.74244,44684.71071,36959.91516,52202.81881
5842,NC,Neisler Street Solar,60072,"Duke Energy Carolinas, LLC",5416,"Neisler Street Solar I, LLC",59825,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,045,Cleveland,35.289757,-81.568878,97517.88665,114777.39,83220.50516,82515.88008,109482.7138,23251.48208,23270.74733,27153.53562,28696.77491,13682.38573,5645.149398,12362.28841,5059.940743,2065.899366,2904.456538,65737.14764,88847.99412,53321.1357,55211.18666,65388.74601
5843,NC,Neuse River Solar Farm,58524,"Duke Energy Carolinas, LLC",5416,"Neuse River Solar Farm, LLC (NRSF)",60837,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,183,Wake,35.714444,-78.498889,118171.8788,139783.2244,103711.9882,101456.0413,127641.3839,24037.95852,27507.33271,28361.88663,23606.35534,16516.45258,7159.112321,16112.13849,6396.160249,1973.461198,3919.396818,68759.56093,113436.2327,48110.51879,40756.79529,72527.57604
5844,NC,New Bern,56688,Duke Energy Progress - (NC),3046,Industrial Power Generating Company LLC,55938,Progress Energy Carolinas - EAST,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,049,Craven,35.1681,-77.2267,74525.06295,95883.48791,57921.08269,59510.49198,84555.65967,23277.63453,28189.28946,26310.63099,22524.15734,15877.10267,5288.247428,13476.97763,3985.758482,1294.699943,2192.667806,45081.09583,72123.5427,31461.75386,29173.04641,47273.29977
5845,NC,New Bern Farm,58339,Duke Energy Progress - (NC),3046,New Bern Farm LLC,58325,Progress Energy Carolinas - EAST,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,049,Craven,35.209564,-77.056725,73751.07369,91051.82624,62633.58341,61594.49735,79485.8585,24547.53684,27813.77679,29916.44959,24430.89449,15836.17571,5007.324866,12271.98044,4398.101447,1314.924058,1878.564057,46895.24206,68083.6712,40677.69359,36548.70009,42049.29557
5846,NC,Newton Grove,59835,Duke Energy Progress - (NC),3046,"Heelstone Energy Holdings, LLC",59462,Progress Energy Carolinas - EAST,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,163,Sampson,35.251628,-78.367439,90040.65652,109481.0719,75363.97263,77653.42728,97496.55204,23410.61094,29420.76827,26732.20295,22214.19466,15166.33836,6440.904113,15264.07127,5452.646209,1784.51546,2951.754455,49431.15297,84949.1542,28169.61946,24333.89336,59747.68109
5847,NC,Nick Solar,58741,"Duke Energy Carolinas, LLC",5416,"Sustainable Power Group, LLC",58661,Progress Energy Carolinas - EAST,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,081,Guilford,35.991111,-79.548056,105618.5155,126173.9261,91397.19424,88503.37964,116320.612,23980.9729,25285.69858,27755.95009,27132.58156,15575.49323,6737.248592,14750.57652,6083.775978,2005.851616,3892.80495,67867.88067,102866.409,49576.11802,48802.75727,70028.76835
5848,NC,Nitro Solar,59501,Duke Energy Progress - (NC),3046,"Nitro Solar, LLC",59279,Progress Energy Carolinas - EAST,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,101,Johnston,35.486944,-78.313889,90040.65652,109481.0719,75363.97263,77653.42728,97496.55204,23410.61094,29420.76827,26732.20295,22214.19466,15166.33836,6440.904113,15264.07127,5452.646209,1784.51546,2951.754455,49431.15297,84949.1542,28169.61946,24333.89336,59747.68109
5849,NC,North Carolina Solar Bethea I,58531,Duke Energy Progress - (NC),3046,Greenbacker Renewable Energy Corporation,60025,Progress Energy Carolinas - EAST,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,165,Scotland,34.704722,-79.525833,78932.62272,95976.39733,66735.78142,64663.13573,88139.91058,24193.92466,29595.76252,28931.29787,23155.54427,14915.20398,6053.722724,14393.56211,5341.837244,1521.061894,2718.971312,46742.14737,71967.9405,34018.82509,30274.00437,50203.49621
5850,NC,North Carolina Solar III LLC,58880,"Duke Energy Carolinas, LLC",5416,"Heelstone Energy Holdings, LLC",59462,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,165,Scotland,34.766667,-79.559722,82846.75431,101582.4085,69232.17524,67375.0474,93008.24994,23847.67007,29092.11964,27554.82776,23438.34202,15126.95276,6150.715471,14658.60332,5154.069019,1603.102517,2950.856251,50777.97396,79071.33981,36944.93752,33020.18141,53628.05162
5851,NC,"North Nash Farm, LLC",60651,Duke Energy Progress - (NC),3046,"North Nash Farm, LLC",60390,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,127,Nash,36.070336,-78.038319,90908.79635,115019.8397,68973.22286,77654.30809,101857.8177,24806.43948,28828.58089,27842.31128,26079.58683,16296.69362,6894.454436,16815.36432,5285.160308,1902.375712,3349.70342,59180.40104,96250.10249,38729.41254,40222.78014,60992.06664
5852,NC,Northern Cardinal Solar,60992,Virginia Electric &amp; Power Co,19876,Northern Cardinal Solar LLC,60635,"PJM Interconnection, LLC",PJM,SERC,SRVC,SERC Virginia/Carolina,PJM,37,083,Halifax,36.433289,-77.719745,79517.51464,103215.7003,60513.90893,62199.00093,92029.10906,25336.03134,27027.51611,29214.17633,28890.08406,16008.16423,6782.626553,16827.1995,5304.545208,1791.86767,3028.52728,58608.13779,89816.9344,41580.66757,45588.61264,57174.83091
5853,NC,Oakboro Farm,58851,"Duke Energy Carolinas, LLC",5416,Oakboro Farm LLC,58726,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,165,Scotland,34.795833,-79.538333,82846.75431,101582.4085,69232.17524,67375.0474,93008.24994,23847.67007,29092.11964,27554.82776,23438.34202,15126.95276,6150.715471,14658.60332,5154.069019,1603.102517,2950.856251,50777.97396,79071.33981,36944.93752,33020.18141,53628.05162
5854,NC,Ocracoke,6377,Tideland Electric Member Corp,19108,North Carolina El Member Corp,13683,"PJM Interconnection, LLC",PJM,SERC,SRVC,SERC Virginia/Carolina,PJM,37,095,Hyde,35.109444,-75.979722,33482.64368,38227.43335,27999.51332,27986.09198,39362.66573,19881.93751,25493.3615,24059.14845,19650.11944,9858.494965,3037.313748,8040.891313,2707.326439,756.1543682,513.6106906,23445.13939,25727.29408,27248.03152,23292.003,17011.783
5855,NC,Old Catawba PV 1,59519,"Duke Energy Carolinas, LLC",5416,"Ecoplexus, Inc",58970,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,035,Catawba,35.711667,-81.134167,103751.9711,121494.573,88589.5937,90638.6895,114226.8881,23703.68524,24009.96963,26923.78547,29630.86401,14061.20816,6396.29115,13641.31162,6223.406979,2328.280213,3199.617069,69452.14557,96714.36185,52391.83059,56059.26123,72442.95322
5856,NC,Old Pageland Monroe Road Solar Farm,60600,"Duke Energy Carolinas, LLC",5416,Cypress Creek Renewables,61060,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,179,Union,34.95233,-80.48191,90147.77967,108245.5472,74675.25869,77316.22823,100212.9282,24372.09498,25344.36787,32227.92085,25064.67388,14667.79855,5851.594917,13404.58556,4952.478823,1657.770053,3149.774831,59017.00393,83007.60198,53456.70066,43036.11874,56263.46337
5857,NC,Old Wire Farm,61094,Duke Energy Progress - (NC),3046,"Old Wire Farm, LLC",60707,Progress Energy Carolinas - EAST,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,165,Scotland,34.817836,-79.513928,82846.75431,101582.4085,69232.17524,67375.0474,93008.24994,23847.67007,29092.11964,27554.82776,23438.34202,15126.95276,6150.715471,14658.60332,5154.069019,1603.102517,2950.856251,50777.97396,79071.33981,36944.93752,33020.18141,53628.05162
