datetime,demand,gen_cost_marg,gen_cost_tot,co2_marg,co2_tot,so2_marg,so2_tot,nox_marg,nox_tot,dmg_easiur,biomass_mix,coal_mix,gas_mix,geothermal_mix,hydro_mix,nuclear_mix,oil_mix,marg_gen,coal_mix_marg,marg_gen_fuel_type,mmbtu_coal,mmbtu_gas,mmbtu_oil
2017-12-27 00:00:00,82587.0,29.243791681311148,1998401.8757843173,855.511283920464,56768422.48518956,0.43006167573995124,42953.71577210197,0.49755565206286634,34376.278509192,1238456.9930576507,0.0,48303.63212783467,34283.367872165414,0.0,0.0,0.0,0.0,0,1.0,coal,465641.5095453102,238722.01216837825,0.0
2017-12-27 01:00:00,81390.0,28.727603536130022,1963708.5941866278,943.1076366339387,56031822.35908228,0.34043383039290587,42659.20030488843,0.6341488110336476,34019.21079187101,1230303.727054647,0.0,47833.3841991258,33556.61580087427,0.0,0.0,0.0,0.0,0,1.0,coal,460785.48123213183,233412.46509737187,0.0
2017-12-27 02:00:00,81168.0,28.71884213753867,1957331.3141517048,933.1312873070729,55820873.15481603,1.376592176162148,42485.81144190003,0.5122330835300273,33883.92211275663,1225834.0264023633,0.0,47611.3841991258,33556.61580087427,0.0,0.0,0.0,0.0,0,1.0,coal,458533.58598628436,233412.46509737187,0.0
2017-12-27 03:00:00,82087.0,28.988605934358727,1983843.1268423754,630.7321692161945,56539186.11270189,0.23285965329655586,42806.61265838553,0.2855791554378467,34325.52046155205,1235151.9258603726,0.0,48218.99703853122,33868.00296146886,0.0,0.0,0.0,0.0,0,0.5,gas,464840.11891930003,235840.15896377416,0.0
2017-12-27 04:00:00,84044.0,29.44735900374394,2041134.0857979846,914.8178104180695,58045950.75117927,0.5369370078579981,43885.903596825694,0.44135225515905363,35021.46093943819,1261304.2878130004,0.0,49760.63212783467,34283.367872165414,0.0,0.0,0.0,0.0,0,1.0,coal,479322.6583716003,238722.01216837825,0.0
2017-12-27 05:00:00,86061.0,30.23306759118163,2101364.494464541,943.2608664387014,59544713.01296805,0.371940603645324,44378.522747656505,0.4739386805851629,35559.28910038978,1273192.046251936,0.0,50977.89307031057,35083.10692968954,0.0,0.0,0.0,0.0,0,1.0,coal,491842.71096618526,244718.1752215742,0.0
2017-12-27 06:00:00,90662.0,30.75361914795133,2241659.9741362804,847.1089845847307,62420933.120009646,0.39335998463987437,44956.605621980714,0.40363334686864244,37497.59341481812,1305524.367191023,0.0,52549.18659774173,38112.813402258376,0.0,0.0,0.0,0.0,0,1.0,coal,507321.7343162017,269947.88729452965,0.0
2017-12-27 07:00:00,94593.0,31.520773748167997,2361850.661762353,861.0464084897274,65154969.929853365,0.43633338106060604,46135.14872236947,1.2950279283865247,39914.656476465745,1351389.0026959903,0.0,55013.643415500905,39579.35658449912,0.0,0.0,0.0,0.0,0,1.0,coal,530049.7477004239,281383.3071350518,0.0
2017-12-27 08:00:00,97480.0,32.02487224558124,2453318.915931809,554.5040898876404,67024753.396452285,0.002800516853932584,46523.52380224414,0.04186888888888889,41299.00584553219,1371599.1346710997,0.0,56298.68448647158,41181.31551352844,0.0,0.0,0.0,0.0,0,0.0,gas,542305.5855720874,294906.8960052872,0.0
2017-12-27 09:00:00,98695.0,32.23237569574257,2494972.5700129364,613.5679936169074,67939510.38633662,0.10092937255300892,46760.446597301656,0.2516806245290255,41815.78854097365,1380564.7779746174,0.0,56934.250285593575,41760.74971440651,0.0,0.0,0.0,0.0,0,0.5,gas,548622.5549965827,300597.59052967303,0.0
2017-12-27 10:00:00,97671.0,31.954881606674764,2462066.102333459,735.9437194267489,67259270.05523834,0.11175938457138412,46600.07746522659,0.2726788893155521,41467.82736019272,1374380.281255431,0.0,56647.48328330759,41023.516716692495,0.0,0.0,0.0,0.0,0,0.5,gas,545749.5041850414,293311.2779618588,0.0
2017-12-27 11:00:00,96095.0,31.58385647093584,2412085.558554773,638.0034895609915,66273364.163797066,0.12982586357351467,46438.74943418572,0.3865732910220361,40795.36339248997,1365321.0708031321,0.0,56080.1844864716,40014.81551352848,0.0,0.0,0.0,0.0,0,0.5,gas,540315.6274271535,284405.3277331297,0.0
2017-12-27 12:00:00,94188.0,31.157710615471487,2352164.7160547865,666.2662410871931,65043328.4804035,0.17491405753306877,45982.346253764415,0.5241287429169531,39618.259545228735,1345512.4144405671,0.0,55146.4639509863,39041.536049013805,0.0,0.0,0.0,0.0,0,0.5,gas,531761.090493068,276358.1937000505,0.0
2017-12-27 13:00:00,92425.0,30.75797368286446,2297409.388728747,623.248099498331,63920711.672589265,0.21259610202377124,45499.670743917784,0.4519316980811612,38956.381605529015,1329244.363523062,0.0,54198.335542106666,38226.664457893436,0.0,0.0,0.0,0.0,0,0.5,gas,522975.02445137483,270736.0714555702,0.0
2017-12-27 14:00:00,92629.0,30.873003277702395,2303693.8736391873,623.9633448720367,64025083.245996706,0.21259471524399778,45513.30571403346,0.45197122544434526,38969.06068956592,1329681.7758215796,0.0,54257.85283365472,38371.147166345385,0.0,0.0,0.0,0.0,0,0.5,gas,523516.3400932172,271737.45432845294,0.0
2017-12-27 15:00:00,91610.0,30.68803511275211,2272352.4803311536,869.7982954529042,63255447.22536966,0.2765964094547562,45351.04937439102,0.5706643235172119,38749.42361359634,1325207.7330845182,0.0,53499.43934399663,38110.56065600349,0.0,0.0,0.0,0.0,0,1.0,coal,516319.1783894935,269925.29365529225,0.0
2017-12-27 16:00:00,94086.0,31.15576846150515,2348986.7531727664,840.4254965423461,64971044.620783776,0.4617104128319004,45930.89957513942,0.7801331823747497,39594.276154735504,1344176.0872447398,0.0,55063.643415500985,39022.35658449912,0.0,0.0,0.0,0.0,0,1.0,coal,531076.1705978883,276199.9382094089,0.0
2017-12-27 17:00:00,99337.0,32.52832162420633,2515736.246871306,685.0994116456792,68206709.80370343,0.10129113282666362,46822.131149899105,0.28008496398345384,41954.9313615346,1384140.3493177053,0.0,56830.26752347799,42506.7324765221,0.0,0.0,0.0,0.0,0,0.5,gas,547673.9217020072,306535.3779185719,0.0
2017-12-27 18:00:00,100524.0,32.626974754558205,2554365.8381299255,467.2490483870967,69017088.67866579,0.0023617659574468085,46975.11488092142,0.023432258064516126,42366.61011457177,1390284.8565218085,0.0,57361.6844864716,43162.31551352848,0.0,0.0,0.0,0.0,0,0.0,gas,552522.0723730917,313019.69305089343,0.0
2017-12-27 19:00:00,100905.0,32.66375533777229,2566921.312635631,841.5690803732284,69260489.30379963,0.6123149994551598,47096.43212690786,0.3696857142857143,42443.876945854376,1393845.6783702862,0.0,57559.17621884034,43345.82378115974,0.0,0.0,0.0,0.0,0,1.0,coal,554307.7015318951,314451.64768334676,0.0
2017-12-27 20:00:00,100117.0,32.53819725617517,2541240.447721279,845.3469054174525,68789060.97969043,0.4061329332328454,47030.00154570729,0.4236992475645013,42267.655264298184,1391010.7288920537,0.0,57323.93111973363,42793.06888026646,0.0,0.0,0.0,0.0,0,1.0,coal,552165.1077604311,309406.17649820977,0.0
2017-12-27 21:00:00,99226.0,32.36366309228039,2512305.26453941,618.5151579232863,68251769.50125906,0.1465059622444732,46857.71014161324,0.23690346802937107,41963.62277706214,1385133.7687376784,0.0,57078.398151179645,42147.60184882044,0.0,0.0,0.0,0.0,0,0.5,gas,549929.7220584825,303687.3662336219,0.0
2017-12-27 22:00:00,94776.0,31.25762159063911,2370946.500237216,696.3155900659569,65448500.04223151,0.18705925559121409,46142.713503568,0.47410387169889884,39813.64034490281,1350960.1891474954,0.0,55561.46395098629,39214.536049013805,0.0,0.0,0.0,0.0,0,0.5,gas,535264.3137187406,277825.4284627786,0.0
2017-12-27 23:00:00,93076.0,30.873003277702395,2318005.2386946296,622.537018901784,64301263.50403057,0.20850298507911955,45592.63914478728,0.4282431250942989,39067.07320169591,1332281.7613239114,0.0,54489.58206001575,38586.41793998435,0.0,0.0,0.0,0.0,0,0.5,gas,525618.7552019422,273230.6309980898,0.0
2017-12-28 00:00:00,90909.0,30.632975834403048,2251418.4920693394,945.4040682112827,62789747.91253689,0.324319545326042,45297.65823250482,0.5369415932539039,38478.14823039218,1321855.342794033,0.0,53258.18659774173,37650.813402258376,0.0,0.0,0.0,0.0,0,1.0,coal,513928.1977988148,265525.19891909504,0.0
2017-12-28 01:00:00,91102.0,30.634033593752967,2257330.787675548,680.2260073293885,62938404.54023004,0.1840136781634149,45343.16747539301,0.39703662685625823,38609.41559177176,1324216.2892013884,0.0,53389.13554210667,37712.86445789344,0.0,0.0,0.0,0.0,0,0.5,gas,515193.97761733853,266086.3131482552,0.0
2017-12-28 02:00:00,91677.0,30.68803511275211,2274962.4019264877,868.3892585494411,63308607.73207368,0.2742670985040351,45386.806014465226,0.5545724697953038,38752.686120696366,1326272.0264240275,0.0,53571.03473053029,38105.96526946982,0.0,0.0,0.0,0.0,0,1.0,coal,516927.8378246658,269879.20479585114,0.0
2017-12-28 03:00:00,92007.0,30.733834425279714,2285093.386477853,943.7812436958266,63598629.340919964,0.3428625413552712,45423.408766973356,0.5707673827887629,38839.21825920757,1326744.7439482524,0.0,53894.18659774174,38112.813402258376,0.0,0.0,0.0,0.0,0,1.0,coal,519984.59941692086,269947.88729452965,0.0
2017-12-28 04:00:00,93857.0,31.15576846150515,2342297.9525809693,837.185778256201,64780920.671266906,0.4616223585817204,45800.2986306364,0.7338774008469944,39405.22146380609,1339609.2456713452,0.0,54834.643415500985,39022.35658449912,0.0,0.0,0.0,0.0,0,1.0,coal,529033.6297218532,276199.9382094089,0.0
2017-12-28 05:00:00,97230.0,31.68997246424252,2448339.638122625,707.8823502628809,67022975.81468834,0.12687360709345238,46661.48116056542,0.5210326723958806,41118.67036469104,1373964.5928565525,0.0,56700.06395098628,40529.9360490138,0.0,0.0,0.0,0.0,0,0.5,gas,545878.0053258402,288706.3299640073,0.0
2017-12-28 06:00:00,101990.0,32.86601122153209,2602496.6576336077,386.2016142857143,69714538.30784652,0.0019500380952380955,47107.33739253266,0.02663128491620112,42559.334062667716,1394927.3273435908,0.0,57610.6844864716,44379.3155135285,0.0,0.0,0.0,0.0,0,0.0,gas,554871.9497296865,321898.58169570984,0.0
2017-12-28 07:00:00,105421.0,33.9785195820097,2714131.671274628,871.270367483299,71920113.96270123,0.3298719318778224,47976.736523500374,0.542212947209139,43479.1790420322,1419548.90712072,0.0,58975.91238659689,46445.08761340315,0.0,0.0,0.0,0.0,0,1.0,coal,567517.7266309343,340196.39146375796,0.0
2017-12-28 08:00:00,107316.0,34.40945087178242,2781974.7964825095,897.1669749266168,73520859.57003167,0.43447612320841067,48392.14665144803,0.49145378905743275,44251.99737116404,1433810.965326091,0.0,60813.36701767473,46502.632982325376,0.0,0.0,0.0,0.0,0,1.0,coal,584345.2009734527,340834.42574168317,0.0
2017-12-28 09:00:00,106777.0,33.99863387783115,2763603.700005247,854.2542941669203,73087303.28223036,0.21932440630339933,48329.044856829256,0.40071615661987864,44091.71011060463,1431705.1563658647,0.0,60331.91238659696,46445.08761340315,0.0,0.0,0.0,0.0,0,1.0,coal,580057.1918227556,340196.39146375796,0.0
2017-12-28 10:00:00,104826.0,33.07248298717502,2697881.737844325,622.4926381644786,71752214.78922209,0.182405492945688,47821.23251574215,0.27213518027260275,43584.67981547049,1418017.0793552569,0.0,59355.5170810577,45470.48291894241,0.0,0.0,0.0,0.0,0,0.5,gas,571009.3223425052,331233.7973088568,0.0
2017-12-28 11:00:00,101419.0,32.537833809762496,2586156.3208812927,854.97391814806,69930835.36407976,0.2704153149333599,47490.9950074837,0.44534012517059673,42805.397143416936,1404619.0875566225,0.0,58668.003805516295,42750.99619448379,0.0,0.0,0.0,0.0,0,1.0,coal,564667.3539394502,308999.40058830613,0.0
2017-12-28 12:00:00,99111.0,31.906977261369313,2511760.144139821,954.7871111171746,68563685.59303032,0.21518617436924323,47205.234138043765,1.230945275325157,41925.65466499778,1391146.7191020623,0.0,58330.57098144601,40780.42901855407,0.0,0.0,0.0,0.0,0,1.0,coal,561069.844176087,291055.954018295,0.0
2017-12-28 13:00:00,97135.0,31.520773748167997,2449242.29260397,867.0744887046371,67380935.96140866,0.37617305697520265,46946.428811524864,0.8999155291314743,41217.95481353476,1378526.6523158082,0.0,57575.965322589334,39559.03467741075,0.0,0.0,0.0,0.0,0,1.0,coal,554083.7746954411,281178.43095010554,0.0
2017-12-28 14:00:00,95282.0,31.15319040249115,2391284.3276394163,860.1749483179426,66013642.345782,0.3761663803199269,46276.498260087166,0.5502395981725468,39940.17160509297,1353332.0376395492,0.0,56263.270344138866,39018.729655861236,0.0,0.0,0.0,0.0,0,1.0,coal,542291.5171367623,276175.7408686648,0.0
2017-12-28 15:00:00,95661.0,31.15576846150515,2403092.327172006,832.630049987435,66326915.45007922,0.4597720541014805,46449.98823261041,0.6017506481193466,40136.13090038101,1358895.101087896,0.0,56638.643415500985,39022.35658449912,0.0,0.0,0.0,0.0,0,1.0,coal,545643.1511150041,276199.9382094089,0.0
2017-12-28 16:00:00,97754.0,31.58385647093584,2468788.439438743,623.6341429967687,67718727.47033718,0.15895170928775912,47030.56515872168,0.27903365978479616,41457.864554806314,1382716.9312614354,0.0,57785.384486471594,39968.615513528486,0.0,0.0,0.0,0.0,0,0.5,gas,556029.7546565023,284084.6985431216,0.0
